alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759218283.4229,elite,111.26627897337,1725267267.7923,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849069,1763023726.8619,80,http,http://172.67.102.1:80,false,10.95175743103,80437,3354,95.997183468392,172.67.102.1
true,1758181215.4286,elite,110.07529494009,1720480805.6675,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Invermae Solutions SL",51.5072,-0.127586,false,"Invermae Solutions SL",true,England,success,Europe/London,W1B,1762849269,1763023726.8176,80,http,http://185.238.228.178:80,false,16.622304916382,81700,4692,94.568941568664,185.238.228.178
true,1759218310.5558,elite,111.14756758033,1742565160.906,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762849375,1763023726.8153,80,http,http://104.24.187.76:80,false,19.564867019653,80409,609,99.248315189217,104.24.187.76
true,1759218102.0773,elite,110.73406092824,1742363533.1219,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762848913,1763023726.7942,80,http,http://185.174.138.6:80,false,16.111612319946,80630,3361,95.998380778893,185.174.138.6
true,1761618727.8837,elite,110.6630348662,1720536085.3917,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849094,1763023725.1439,80,http,http://173.245.49.226:80,false,14.455795288086,80788,1732,97.901114881241,173.245.49.226
true,1761067779.9781,elite,140.02954197778,1761067779.9781,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762882439,1763023724.7372,80,http,http://8.35.211.157:80,false,13.654947280884,14172,0,100,8.35.211.157
true,1759218111.686,elite,111.50257250322,1745127298.9456,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"New York","North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7128,-74.006,false,"Cloudflare, Inc.",false,"New York",success,America/New_York,10123,1762848847,1763023724.4603,80,http,http://104.18.21.45:80,false,17.013549804688,80481,2615,96.853037450659,104.18.21.45
true,1758182878.3624,elite,110.82602625098,1727947849.2273,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848819,1763023723.8726,80,http,http://104.24.170.57:80,false,16.757249832153,80211,4333,94.874858062074,104.24.170.57
true,1759208535.6451,elite,110.06494496314,1742476831.0407,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Cloudflare London, LLC",51.5072,-0.127586,false,"F3 Markets N.V",true,England,success,Europe/London,W1B,1762848691,1763023723.1919,80,http,http://185.193.30.194:80,false,15.43402671814,80721,3269,96.107869984522,185.193.30.194
true,1761044775.5348,elite,110.38901643835,1722894599.3246,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762848809,1763023722.9378,80,http,http://172.67.181.111:80,false,15.314340591431,81192,8162,90.865546030396,172.67.181.111
true,1761555651.9887,elite,110.70992295116,1742449494.8554,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Washington,"North America",NA,"United States",US,,true,"Softmedia Entertainment Solutions",38.9072,-77.0369,false,"Softmedia Entertainment Solutions, Inc",true,"District of Columbia",success,America/New_York,20068,1762848822,1763023722.6109,80,http,http://45.194.53.74:80,false,18.323659896851,81176,3339,96.049222031592,45.194.53.74
true,1759208269.3725,elite,111.36673699718,1745119306.3574,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848815,1763023722.1438,80,http,http://104.16.198.214:80,false,17.154216766357,80252,2607,96.853691210369,104.16.198.214
true,1761696862.3095,elite,110.61852882016,1742488584.6538,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Almaty,Asia,AS,Kazakhstan,KZ,,true,"Cloudflare London, LLC",43.25,76.9167,false,"TOO ""NetBet""",true,Almaty,success,Asia/Almaty,,1762848977,1763023722.1405,80,http,http://185.176.26.146:80,false,19.433259963989,80653,879,98.921895697395,185.176.26.146
true,1758180548.948,elite,110.83905056864,1742845023.1112,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Willemstad,"North America",NA,Curacao,CW,,true,"Cloudflare London, LLC",12.1224,-68.8824,false,"Hollycorn N.V",true,Curaçao,success,America/Curacao,,1762848664,1763023722.0848,80,http,http://5.10.247.229:80,false,17.096281051636,81467,843,98.975823107763,5.10.247.229
